country,year,"GDP (current US$)","Patent applications", "residents,CO2 emissions (kt)","Scientific and technical journal articles"
Argentina,1990,141352368715,955,112614,1627,1955
Argentina,1991,189719989669,943,117022,1499,1851
Argentina,1992,228779382769,503,121448,1526,1919
Argentina,1993,236753563470,787,118610,1585,2261
Argentina,1994,257439956992,694,123351,1747,2820
Argentina,1995,258031878144,676,122548,1968,3588
Argentina,1996,272149757952,1097,129218,2288,4012
Argentina,1997,292858888192,824,134678,2451,5035
Argentina,1998,298948362240,861,137674,2551,5459
Argentina,1999,283523022848,899,145489,2636,5558
Argentina,2000,284203745280,1062,141077,2847,5574
Argentina,2001,268696715264,691,132632,2931,5088
Argentina,2002,102040334259,718,123267,3179,4143
Argentina,2003,129597103034,792,133127,2920,3765
Argentina,2004,153129481874,786,156171,2982,3816
Argentina,2005,183193408941,1054,155650,3059,4215
Argentina,2006,214066231200,1020,171180,3264,4597
Argentina,2007,260768703250,937,173589,3365,4806
Argentina,2008,326582808528,801,182129,3568,4781
Argentina,2009,307155148185,0,174718,3656,0
Argentina,2010,368736062144,0,0,0,0
Argentina,2011,446044143597,0,0,0,0
Austria,1990,164753092098,2025,60726,2690,670
Austria,1991,172008564526,2076,65603,2756,544
Austria,1992,193073835463,2117,60543,3047,517
Austria,1993,188423702828,2190,60282,3051,513
Austria,1994,201444060957,1989,61104,3177,516
Austria,1995,238561783814,1728,61731,3425,458
Austria,1996,234676456980,1909,63025,3647,449
Austria,1997,207826098771,1910,63902,3948,397
Austria,1998,213329585372,1957,65566,4074,349
Austria,1999,212301777115,2028,63799,4158,341
Austria,2000,192070749954,1961,63696,4258,340
Austria,2001,191678678300,1815,65717,4480,284
Austria,2002,207537336722,1932,67180,4460,329
Austria,2003,253945776524,2120,72317,4693,213
Austria,2004,291430382498,2248,71866,4716,266
Austria,2005,304983601950,2270,74510,4568,235
Austria,2006,324954402045,2271,71650,4615,378
Austria,2007,375041784030,2385,69013,4828,287
Austria,2008,414171069690,2298,68232,4816,329
Austria,2009,383626706102,2263,62314,4833,292
Austria,2010,376837981579,2424,0,0,249
Austria,2011,417656162500,2154,0,0,276
Australia,1990,311412081570,0,287332,10664,0
Australia,1991,326154148027,0,281531,10742,0
Australia,1992,325587941245,0,294457,11452,0
Australia,1993,312315205172,0,302117,11929,0
Australia,1994,323412659980,0,303958,12695,0
Australia,1995,368595188596,1784,307434,13126,12277
Australia,1996,401900606981,1797,329260,13624,13221
Australia,1997,435891375803,1760,333624,13816,15398
Australia,1998,399745642000,1862,346913,14308,16063
Australia,1999,389474871538,1858,325524,14342,17960
Australia,2000,415774037556,1928,329605,14589,20073
Australia,2001,379357625846,2187,324860,14484,20548
Australia,2002,395012557556,2364,341398,14256,20181
Australia,2003,466474082703,2418,346477,14934,19176
Australia,2004,611491677337,2559,349224,15588,20274
Australia,2005,692353781387,2555,367133,15973,21302
Australia,2006,744959568734,2837,377382,17217,23166
Australia,2007,850516605167,2718,381357,17834,24122
Australia,2008,1052255352170,2821,393000,18777,23525
Australia,2009,923499434131,2494,400195,18924,21187
Australia,2010,1138262493190,2409,0,0,22478
Australia,2011,1384145284190,2383,0,0,23143
Belgium,1990,202832423616,643,108470,4103,613
Belgium,1991,207948632759,625,117579,4164,574
Belgium,1992,231923859990,675,114374,4431,499
Belgium,1993,221986453440,809,108925,4512,679
Belgium,1994,241903369307,744,113307,4949,446
Belgium,1995,284519704434,732,112977,5172,355
Belgium,1996,275796742672,776,119625,5555,310
Belgium,1997,249766576455,792,116296,5532,269
Belgium,1998,255599022005,690,119185,5688,249
Belgium,1999,254503515875,591,115845,5713,249
Belgium,2000,232672747375,577,115709,5736,243
Belgium,2001,232485906041,571,114767,5827,264
Belgium,2002,252795031056,601,107532,6037,147
Belgium,2003,311689616253,519,114836,6303,188
Belgium,2004,361683211960,514,111283,6626,122
Belgium,2005,377350395464,517,108525,6847,105
Belgium,2006,399965627161,490,106835,6736,161
Belgium,2007,459618853660,454,102530,7078,163
Belgium,2008,507379060315,575,104866,7298,133
Belgium,2009,473351828107,669,103593,7218,148
Belgium,2010,468511842106,620,0,0,140
Belgium,2011,513862500000,636,0,0,127
Brazil,1990,461951782000,2389,208887,2374,5148
Brazil,1991,407337832906,2319,219331,2640,4625
Brazil,1992,390566551484,2100,220706,3107,4374
Brazil,1993,438299504407,2429,230739,2885,4221
Brazil,1994,546233380260,2269,242155,3073,4228
Brazil,1995,768951297895,2707,258348,3437,4741
Brazil,1996,839682618645,2611,284783,3814,5446
Brazil,1997,871200342860,2756,300548,4498,13479
Brazil,1998,843827363150,2491,312290,5235,13546
Brazil,1999,586862640400,2816,320174,5860,14693
Brazil,2000,644701831102,3080,327984,6408,14296
Brazil,2001,553582178387,3323,337434,7053,13881
Brazil,2002,504221228975,3365,332267,7882,12657
Brazil,2003,552469288268,3689,321622,8331,14015
Brazil,2004,663760341881,3958,337827,9573,15314
Brazil,2005,882185702548,3905,347309,9897,16100
Brazil,2006,1088916819850,3810,347669,10800,20264
Brazil,2007,1366853244420,4023,363213,11891,17802
Brazil,2008,1653538618140,4084,387676,12910,18833
Brazil,2009,1620165226990,3921,367148,12307,18023
Brazil,2010,2143035333260,2705,0,0,19981
Brazil,2011,2476652189880,0,0,0,0
Canada,1990,582722831677,2549,450077,22792,24375
Canada,1991,598208082396,2182,449054,22903,21097
Canada,1992,579531728304,2807,467649,24180,22950
Canada,1993,563664832184,3623,477921,23824,23307
Canada,1994,564493995314,2480,454492,24565,13870
Canada,1995,590517341883,2431,459791,23740,24161
Canada,1996,613761642831,2583,467884,23842,24987
Canada,1997,637536472628,3344,483234,22781,25238
Canada,1998,616766430739,3809,517220,22201,30163
Canada,1999,661264723700,4061,515416,22126,33189
Canada,2000,724918860683,4187,534484,22702,35435
Canada,2001,715423553720,3963,525691,21946,35753
Canada,2002,734661951189,3959,519163,22342,35782
Canada,2003,865873242453,3929,553186,23554,33299
Canada,2004,992226099522,5231,552350,24233,32970
Canada,2005,1133759985480,5183,563072,25862,34705
Canada,2006,1278610846640,5522,550234,27206,36516
Canada,2007,1424065729450,4998,560802,27834,35133
Canada,2008,1502678437550,5061,544975,28637,37028
Canada,2009,1337577639750,5067,513938,29017,32410
Canada,2010,1577040082220,4550,0,0,30899
Canada,2011,1777788888890,4754,0,0,30357
Switzerland,1990,244022455457,2987,42864,5901,1081
Switzerland,1991,246903857953,2949,41999,6098,893
Switzerland,1992,257022107044,3068,43066,6651,903
Switzerland,1993,249966798831,2999,40763,6871,874
Switzerland,1994,276720695310,3033,41320,7372,892
Switzerland,1995,323971635946,2890,39234,7220,830
Switzerland,1996,312031429539,2504,39930,7569,718
Switzerland,1997,272270373867,2408,41467,7864,620
Switzerland,1998,278904197267,2025,41830,7984,564
Switzerland,1999,273548236723,1916,40701,8195,535
Switzerland,2000,256042925983,2083,39050,8504,468
Switzerland,2001,262647169330,1859,42963,7950,594
Switzerland,2002,286658255889,1827,40719,7879,466
Switzerland,2003,334574926430,1831,40205,8134,396
Switzerland,2004,374224186244,1742,40393,8675,434
Switzerland,2005,384753967479,1643,41375,8767,455
Switzerland,2006,405183914853,1740,41878,9234,362
Switzerland,2007,450528109860,1692,38020,9195,342
Switzerland,2008,524289203563,1594,40393,9335,439
Switzerland,2009,509467163037,1684,41599,9470,394
Switzerland,2010,552224618427,1622,0,0,533
Switzerland,2011,659307920845,1597,0,0,446
Chile,1990,31558927518,169,34144,830,642
Chile,1991,36424168147,151,32182,819,838
Chile,1992,44467946385,178,33315,835,949
Chile,1993,47693992627,155,35475,877,1179
Chile,1994,55154226760,219,38889,798,1418
Chile,1995,71349202309,171,42457,889,1535
Chile,1996,75769008175,176,48519,921,1771
Chile,1997,82808986192,161,56172,955,2411
Chile,1998,79373597081,207,57715,992,2568
Chile,1999,72995286765,204,60884,1059,2608
Chile,2000,79328640264,241,58695,1116,2879
Chile,2001,72336972323,246,52758,1160,2504
Chile,2002,70984568429,391,55361,1312,2147
Chile,2003,77840186385,329,55079,1407,2076
Chile,2004,100630707852,382,60048,1465,2485
Chile,2005,124404150139,361,61302,1560,2646
Chile,2006,154412421262,291,62725,1631,2924
Chile,2007,172868468117,403,67345,1742,3403
Chile,2008,179626662208,531,70682,1785,3421
Chile,2009,171956957321,343,66733,1868,1374
Chile,2010,217556231841,328,0,0,748
Chile,2011,251190532753,339,0,0,2453
China,1990,356936901184,5832,2460745,6285,4305
China,1991,379468656247,7372,2584539,6186,4051
China,1992,422660918112,10022,2695983,6956,4387
China,1993,440500898965,12084,2878695,7566,7534
China,1994,559224707281,11191,3058242,7821,7876
China,1995,728007199937,10011,3320286,9062,8688
China,1996,856084729313,11628,3463090,10527,11114
China,1997,952652693080,12672,3469511,12172,12102
China,1998,1019458585330,13751,3324345,13782,33645
China,1999,1083277930360,15626,3318056,15715,34418
China,2000,1198474934200,25346,3405180,18479,26560
China,2001,1324806914360,30038,3487567,21135,33412
China,2002,1453827554720,39806,3694243,23270,40426
China,2003,1640958732780,56769,4525178,28768,48548
China,2004,1931644331140,65786,5288167,34846,64598
China,2005,2256902590830,93485,5790017,41604,79842
China,2006,2712950886700,122318,6414464,49576,88183
China,2007,3494055944790,153060,6791805,56812,92101
China,2008,4521827288300,194579,7037711,65301,95259
China,2009,4991256406740,229096,7687114,74020,85508
China,2010,5930529470800,293066,0,0,98111
China,2011,7321935025070,415829,0,0,110583
Czech Republic,1990,39130979426,0,0,3079,0
Czech Republic,1991,28688387779,0,0,2881,0
Czech Republic,1992,33439461247,0,139035,3132,0
Czech Republic,1993,39263369286,893,131811,3308,2040
Czech Republic,1994,45972833317,756,125845,2179,2593
Czech Republic,1995,57787339865,626,125053,1955,2893
Czech Republic,1996,64894609845,614,127832,2186,3247
Czech Republic,1997,59463982355,579,129215,2305,3661
Czech Republic,1998,63863336208,624,122845,2264,3771
Czech Republic,1999,62165739784,596,112482,2360,4204
Czech Republic,2000,58807244368,555,124649,2482,4384
Czech Republic,2001,64375288107,568,124407,2571,4184
Czech Republic,2002,78425201661,526,120194,2747,5031
Czech Republic,2003,95292530753,625,122379,2821,2954
Czech Republic,2004,113976672925,623,122709,3179,629
Czech Republic,2005,130052420702,586,120736,3173,244
Czech Republic,2006,148345088496,641,122786,3566,195
Czech Republic,2007,180511237063,716,123945,3690,192
Czech Republic,2008,225448799063,712,116952,3937,142
Czech Republic,2009,197218205667,789,108122,3947,92
Czech Republic,2010,198475392671,868,0,0,114
Czech Republic,2011,216011355933,783,0,0,97
Germany,1990,1714470068620,30724,0,32295,8605
Germany,1991,1808603417800,32256,930857,32929,7784
Germany,1992,2064370695050,33919,893142,35120,7404
Germany,1993,2007452975280,34752,879061,34103,6995
Germany,1994,2148005303120,36715,867169,36901,7261
Germany,1995,2522860652380,38103,865754,37645,8055
Germany,1996,2436963867950,42322,891302,39214,9511
Germany,1997,2157229866910,44438,863975,41415,11291
Germany,1998,2178170501280,46523,857180,42955,10843
Germany,1999,2131046239080,50029,824474,42963,9502
Germany,2000,1886401326700,51736,832101,43510,10406
Germany,2001,1880894854590,49989,855757,42675,10486
Germany,2002,2006587615280,47598,830910,42436,10589
Germany,2003,2423814898420,47818,835658,42230,10663
Germany,2004,2726341472500,48448,828522,43014,10786
Germany,2005,2766253792970,48367,809597,44195,11855
Germany,2006,2902748698160,48012,811882,44544,12573
Germany,2007,3323807412150,47853,787236,44429,13139
Germany,2008,3623686234300,49240,786653,44914,13177
Germany,2009,3298635952560,47859,734600,45003,11724
Germany,2010,3284473684210,47047,0,0,12198
Germany,2011,3600833333330,46986,0,0,12458
Denmark,1990,135838154026,1218,49747,3716,1843
Denmark,1991,136693973267,1061,61214,3776,370
Denmark,1992,150195490466,1204,54320,4141,361
Denmark,1993,140626629035,1159,57158,4068,254
Denmark,1994,153593214477,1274,61052,4458,176
Denmark,1995,181983614166,1234,55141,4331,250
Denmark,1996,184435821823,1309,68603,4369,196
Denmark,1997,170435460671,1319,57055,4598,218
Denmark,1998,173653145894,1543,56069,4718,166
Denmark,1999,173944697687,1656,50931,4784,131
Denmark,2000,160082517846,1730,47261,4883,140
Denmark,2001,160476161869,1757,49036,4916,188
Denmark,2002,173880831444,1815,49267,4761,169
Denmark,2003,212621855883,1772,55735,5006,153
Denmark,2004,244727978021,1877,50598,5009,138
Denmark,2005,257675536235,1658,47099,5048,165
Denmark,2006,274376889679,1503,54598,5134,188
Denmark,2007,311417601999,1660,49872,5241,197
Denmark,2008,343881383959,1634,46850,5304,195
Denmark,2009,310544743671,1518,45699,5307,131
Denmark,2010,313365836299,1626,0,0,142
Denmark,2011,333616014898,1574,0,0,197
Estonia,1990,0,0,0,0,0
Estonia,1991,0,0,0,0,0
Estonia,1992,0,0,23037,2,0
Estonia,1993,0,0,18629,177,0
Estonia,1994,0,16,18662,202,452
Estonia,1995,3776938817,16,16755,216,63
Estonia,1996,4727884887,12,18809,271,198
Estonia,1997,5052078018,15,18614,230,360
Estonia,1998,5593921752,20,17144,305,443
Estonia,1999,5709010493,13,15475,341,604
Estonia,2000,5675174662,13,15560,328,791
Estonia,2001,6237914201,18,15985,346,699
Estonia,2002,7318186727,19,15472,322,700
Estonia,2003,9840743038,18,17554,355,584
Estonia,2004,12025943710,27,17840,390,97
Estonia,2005,13905561151,23,17463,439,15
Estonia,2006,16798495348,36,16946,457,9
Estonia,2007,21993658964,44,19953,503,19
Estonia,2008,23781539699,62,18383,477,10
Estonia,2009,19117606973,76,15952,519,20
Estonia,2010,18845656095,84,0,0,13
Estonia,2011,22154665059,62,0,0,15
Spain,1990,520968164832,2218,218865,6837,1079
Spain,1991,560395839591,2156,225858,7269,746
Spain,1992,612583910505,2076,234058,9267,561
Spain,1993,509818861675,2165,219408,9759,563
Spain,1994,515146428406,2136,233559,10534,537
Spain,1995,596750733921,2047,241733,11316,553
Spain,1996,622428740313,2274,233423,12496,524
Spain,1997,572637500000,2237,252169,13076,496
Spain,1998,600838623455,2271,261564,13720,476
Spain,1999,617879821011,2439,282385,14514,506
